,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
522,0,65,10.0,300,,5,10,sqrt,0.6242754490717058,0.38155550198615484,0.889281823683608,0.3865589997395155,0.7116436572023964,0.7309195102891378,0.8591101694915254
523,120,35,5.0,100,30,2,1,sqrt,0.687331027431416,0.4708001120209997,0.8188121054568082,0.42224593224859963,0.7209922646038943,0.7441984529207789,0.8828976034858388
524,120,65,5.0,200,,2,1,sqrt,0.6780201606859382,0.45776159328459887,0.8322996325137164,0.4225058609012764,0.7223235217504559,0.7387340453243032,0.8744703389830508
525,160,50,0.1,300,10,10,4,log2,0.6627134113290922,0.4281719144988484,0.8578373222065305,0.3848181338956247,0.7219293621507644,0.7480231945176594,0.8898441698011822
526,160,50,5.0,200,10,10,4,log2,0.6599484439744987,0.42503086355861575,0.857797478981239,0.3885081707959937,0.7203479177648919,0.7480231945176594,0.8871574422353573
527,160,50,0.1,100,,10,10,sqrt,0.6523267335482327,0.41876263143335557,0.859288100725233,0.39720611491829205,0.7161307327358988,0.7461781760674749,0.8807092960773778
528,160,50,0.1,300,,10,1,log2,0.6841169020300277,0.4624986214892436,0.8271870880898344,0.4127569847127043,0.7229836584080126,0.7453874538745388,0.8833960236432026
529,0,35,0.1,200,10,10,10,log2,0.6404235468764754,0.39988393081463847,0.8763606209529569,0.3811683115497466,0.7119231795145372,0.7447319285142705,0.8812636165577342
530,120,65,0.1,100,,2,2,sqrt,0.6749024490439587,0.4534024245250543,0.8328327754409176,0.4209429538942433,0.7191977077363897,0.7379525918207867,0.8760593220338984
531,0,50,1.0,100,30,2,10,sqrt,0.6443708534573314,0.40761272179105645,0.8691513349198543,0.39219820769636266,0.709541381128097,0.7440695835529784,0.876947877485223
532,120,50,0.1,100,10,2,1,log2,0.661584014917878,0.4297587917466573,0.8593144681948962,0.3774380600948867,0.720611491829204,0.7459146020031628,0.8860827512090274
533,120,50,0.1,300,10,10,10,log2,0.6443582089119981,0.4048967552978978,0.8730581244727436,0.3845545598313126,0.7182393252503954,0.7445967316816026,0.8839333691563676
534,140,50,0.1,100,30,5,4,sqrt,0.678983558422193,0.45821465725227684,0.8311490373000124,0.4103848181338956,0.7224565102793885,0.7419609910384818,0.8807092960773778
535,0,50,10.0,200,10,10,2,log2,0.6440804868153751,0.40553219153433184,0.8764211305053932,0.38323668950975226,0.713231418028466,0.7398523985239852,0.876410531972058
536,80,65,10.0,300,30,2,2,log2,0.6667488956752953,0.4404522296319445,0.8419018632472902,0.4154727793696275,0.71685334722584,0.7389945298254754,0.8697033898305084
537,140,50,0.1,200,,10,1,log2,0.681516535878098,0.46134549307852524,0.8300438292761848,0.41381128096995257,0.724301528729573,0.7430152872957301,0.8817839871037076
538,140,50,5.0,100,30,2,1,sqrt,0.6879758914330008,0.4727210134374348,0.8229719054593752,0.4124934106483922,0.7227200843437006,0.7435424354243543,0.8823213326168726
539,120,35,0.1,300,,10,2,sqrt,0.6871162234356608,0.4682439919944793,0.8191454598367244,0.42011202987463325,0.7263270205388104,0.7460656174979995,0.8877995642701525
540,80,35,0.1,300,30,10,10,log2,0.6557695647002477,0.4208937702474608,0.8550971020099892,0.3969058415577487,0.722859429181115,0.7444651907175247,0.8856209150326797
541,120,65,0.1,100,,2,4,log2,0.6671968200980667,0.4396245549289126,0.8454144001976333,0.4037509768168794,0.7210210992445949,0.7382130763219589,0.8744703389830508
542,100,35,1.0,200,30,2,4,sqrt,0.6832619813750622,0.4620409657680822,0.8225974694354056,0.41637770072019203,0.7265937583355562,0.7471325686849827,0.8894335511982571
543,0,65,0.1,100,30,10,4,log2,0.6617290082387053,0.4318558735448115,0.8494137775043729,0.4037509768168794,0.7212815837457671,0.7366501693149258,0.871822033898305
544,160,50,10.0,100,10,2,4,sqrt,0.6554796340417521,0.42183126281907946,0.8607568388742922,0.3900896151818661,0.7177121771217713,0.7461781760674749,0.8876947877485223
545,0,65,1.0,100,10,10,10,sqrt,0.6331710788115549,0.39214042198965093,0.8872126371612497,0.3774420421984892,0.7106017191977078,0.7392550143266475,0.8744703389830508
546,0,50,10.0,200,,5,2,log2,0.6651033666458779,0.4377521482941852,0.8416718622967984,0.41354770690564047,0.7148128624143384,0.7430152872957301,0.8790972595378829
547,0,35,0.1,100,10,10,2,sqrt,0.6651123873993441,0.43378122519896223,0.8580018027274939,0.3782341957855428,0.7137903440917578,0.7481995198719659,0.8883442265795207
548,100,65,1.0,200,,10,2,log2,0.6752934612711514,0.4504624748448258,0.8383003999398301,0.41208648085438915,0.7207606147434228,0.7392550143266475,0.8755296610169492
